"CEN",1,"MOS",102,20.80,10.40,210.40,12.50,12.50
"CEN",1,"WKS",103,20.80,10.40,210.40,12.50,12.50
"CEN",1,"AUS",111,10.60,5.40,12.50,5.40,5.50,5.50
"CEN",1,"TWW",114,17.80,9.10,19.50,9.10,10.00,10.00
"CEN",1,"KSR",115,28.00,14.30,30.00,14.30,15.50,15.50
"CEN",1,"YUL",116,29.30,15.20,31.00,15.20,16.50,16.50
"CEN",1,"LOP",117,29.30,15.20,31.00,15.20,16.50,16.50
"CEN",1,"TIS",118,29.30,15.20,31.00,15.20,16.50,16.50
"CEN",1,"SIH",119,29.30,15.20,31.00,15.20,16.50,16.50
"CEN",1,"TUM",120,29.30,15.20,31.00,15.20,16.50,16.50
"CEN",1,"SYP",81,4.90,3.20,5.00,3.20,3.50,3.50
"CEN",1,"HKU",82,5.90,3.20,6.00,3.20,3.50,3.50
"CEN",1,"KET",83,5.90,3.20,6.00,3.20,3.50,3.50
"CEN",1,"HOM",84,13.20,6.50,15.50,6.50,6.50,6.50
"CEN",1,"WHA",85,13.20,6.50,15.50,6.50,6.50,6.50
"CEN",1,"OCP",86,5.90,3.20,6.00,3.20,3.50,3.50
"CEN",1,"WCH",87,7.40,3.70,7.50,3.70,4.00,4.00
"CEN",1,"LET",88,7.40,3.70,7.50,3.70,4.00,4.00
"CEN",1,"SOH",89,7.40,3.70,7.50,3.70,4.00,4.00
"CEN",1,"HIK",90,17.10,8.60,19.00,8.60,9.50,9.50
"CEN",1,"KAT",91,13.20,6.50,15.50,6.50,6.50,6.50
"CEN",1,"SUW",92,13.20,6.50,15.50,6.50,6.50,6.50
"CEN",1,"TKW",93,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"CEN",1,4.90,3.20,5.00,3.20,3.50,3.50
"ADM",2,"ADM",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"ADM",2,"TST",3,10.60,5.40,12.50,5.40,5.50,5.50
"ADM",2,"JOR",4,10.60,5.40,12.50,5.40,5.50,5.50
"ADM",2,"YMT",5,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"MOK",6,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"SKM",7,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"KOT",8,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"LOF",9,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"WTS",10,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"DIH",11,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"CHH",12,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"KOB",13,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"NTK",14,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"KWT",15,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"PRE",16,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"SSP",17,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"CSW",18,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"LCK",19,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"MEF",20,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"LAK",21,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"KWF",22,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"KWH",23,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"TWH",24,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"TSW",25,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"SHW",26,4.90,3.20,5.00,3.20,3.50,3.50
"ADM",2,"WAC",27,4.90,3.20,5.00,3.20,3.50,3.50
"ADM",2,"CAB",28,4.90,3.20,5.00,3.20,3.50,3.50
"ADM",2,"TIH",29,5.90,3.20,6.00,3.20,3.50,3.50
"ADM",2,"FOH",30,5.90,3.20,6.00,3.20,3.50,3.50
"ADM",2,"NOP",31,7.40,3.70,7.50,3.70,4.00,4.00
"ADM",2,"QUB",32,7.40,3.70,7.50,3.70,4.00,4.00
"ADM",2,"TAK",33,7.40,3.70,7.50,3.70,4.00,4.00
"ADM",2,"SWH",34,9.20,4.40,10.50,4.40,4.50,4.50
"ADM",2,"SKW",35,9.20,4.40,10.50,4.40,4.50,4.50
"ADM",2,"HFC",36,9.20,4.40,10.50,4.40,4.50,4.50
"ADM",2,"CHW",37,9.20,4.40,10.50,4.40,4.50,4.50
"ADM",2,"LAT",38,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"HOK",39,4.90,3.20,5.00,3.20,3.50,3.50
"ADM",2,"KOW",40,10.60,5.40,12.50,5.40,5.50,5.50
"ADM",2,"OLY",41,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"TSY",42,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"TUC",43,24.30,12.50,28.00,12.50,15.00,15.00
"ADM",2,"YAT",48,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"TIK",49,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"TKO",50,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"HAH",51,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"POA",52,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"NAC",53,13.20,6.50,15.50,6.50,6.50,6.50
"ADM",2,"SUN",54,22.20,11.10,25.50,11.10,13.50,13.50
"ADM",2,"Disneyland Resort",55,27.90,14.20,31.00,14.20,16.50,16.50
"ADM",2,"LHP",57,15.80,7.40,16.00,7.40,7.50,7.50
"ADM",2,"HUH",64,12.60,5.90,15.00,5.90,6.00,6.00
"ADM",2,"MKK",65,12.90,6.40,15.50,6.40,6.50,6.50
"ADM",2,"TAW",67,17.10,8.60,19.00,8.60,9.50,9.50
"ADM",2,"SHT",68,17.10,8.60,19.00,8.60,9.50,9.50
"ADM",2,"FOT",69,17.60,9.10,19.50,9.10,10.00,10.00
"ADM",2,"Racecourse",70,25.70,13.40,25.70,28.50,13.40,15.00,15.00
"ADM",2,"UNI",71,18.40,9.20,20.00,9.20,10.50,10.50
"ADM",2,"TAP",72,19.90,10.10,210.10,112.00
"ADM",2,"TWO",73,19.90,10.10,210.10,112.00
"ADM",2,"FAN",74,22.20,11.60,25.50,11.60,13.50,13.50
"ADM",2,"SHS",75,22.20,11.60,25.50,11.60,13.50,13.50
"ADM",2,"LOW",76,52.20,46.00,52.20,55.50,26.20,26.20,26.20,27.50,27.50
"ADM",2,"LMC",78,52.20,46.00,52.20,55.50,26.20,26.20,26.20,27.50,27.50
"ADM",2,"ETS",80,10.60,5.40,12.50,5.40,5.50,5.50
"ADM",2,"CKT",96,17.20,8.70,19.00,8.70,10.00,10.00
"ADM",2,"STW",97,17.20,8.70,19.00,8.70,10.00,10.00
"ADM",2,"CIO",98,17.20,8.70,19.00,8.70,10.00,10.00
"ADM",2,"SHM",99,17.20,8.70,19.00,8.70,10.00,10.00
"ADM",2,"TSH",100,20.80,10.40,210.40,12.50,12.50
"ADM",2,"HEO",101,20.80,10.40,210.40,12.50,12.50
"ADM",2,"MOS",102,20.80,10.40,210.40,12.50,12.50
"ADM",2,"WKS",103,20.80,10.40,210.40,12.50,12.50
"ADM",2,"AUS",111,10.60,5.40,12.50,5.40,5.50,5.50
"ADM",2,"TWW",114,17.80,9.10,19.50,9.10,10.00,10.00
"ADM",2,"KSR",115,28.00,14.30,30.00,14.30,15.50,15.50
"ADM",2,"YUL",116,29.30,15.20,31.00,15.20,16.50,16.50
"ADM",2,"LOP",117,29.30,15.20,31.00,15.20,16.50,16.50
